title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
Nothing Gold Can Stay,Robert Frost,1923,Early 20th Century,Modernism,Reflective,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,General,Implied,Nature,Past,Sequential,American,Lyric,Poetry,Quatrains,Iambic tetrameter,AABB
Directive,Robert Frost,1947,Modernist,Modernism,Imperative,Exhortative,Monologue,Poetic,nan,Non-diegetic,First person,Speaker,Second person,Reader,nan,Present,Static,New England,Lyric,Instructions,Quatrains,Iambic tetrameter,AABB
Peter Quince at the Clavier,Wallace Stevens,1923,Modernist,Modernism,Meditative,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,General,nan,Present,Static,Modernist poetry,Lyric,Descriptive poetry,Quatrains,Iambic pentameter,AABB
The Idea of Order at Key West,Wallace Stevens,1936,Modernist,Modernism,Meditative,Descriptive,Expository,Prose Poem,Extradiegetic,None,Third person,None,None,Implied,None,Present,Linear,Modernist Poetry,Lyric,Poetry,Quatrains,Free verse,AABB
The Man with the Blue Guitar,Wallace Stevens,1937,Modernist,Modernism,Imaginative,Descriptive,Expository,Poetic,Extradiegetic,None,Third person omniscient,None,None,Implied,None,Present,Static,Modernist Poetry,Descriptive,Lyric,Free,Free verse,None
Notes Toward a Supreme Fiction,Wallace Stevens,1942,Modernist,Modernism,Reflective,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,None,None,Implied,None,Present,Linear,Modernist Poetry,Lyric,Philosophical Poetry,Irregular,Free verse,None
The Auroras of Autumn,Wallace Stevens,1950,Modernist,Modernism,Meditative,Descriptive,Expository,Fictive,Extradiegetic,None,Third person omniscient,nan,None,Implied,nan,Present,Static,Modernist Poetry,Lyric,Descriptive Poetry,Quatrains,Free verse,A-B-A-B
Portrait of a Lady,William Carlos Williams,1920,Modernist,Modernism,Observational,Descriptive,Expository,Monologue,Third person,Mimetic,External,nan,Second person,Implied,nan,Present,Synchronous,Modernist Poetry,Descriptive,nan,Free verse,Free verse,Free verse
To Elsie,William Carlos Williams,1923,Modernist,Modernism,Intimate,Epistolary,Monologue,Poetic,First person,Extradiegetic,First person internal,Speaker,Second person,Real,Elsie,Present,Synchronous,Modernist poetry,Lyric,Love poem,Free,Free verse,A-B-A-B
The Yachts,William Carlos Williams,1935,Modernist,Modernism,Observational,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,General,nan,Present,Synchronous,Modernist poetry,Descriptive,Lyric,Free verse,Free verse,AABBCC
"Asphodel, That Greeny Flower",William Carlos Williams,1955,Modernist,Modernism,Observational,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,External,Third person,Neutral,Implied,Asphodel flower,Present,Synchronous,Modernist Poetry,Descriptive,Lyric,Free,Free verse,AbbaBbb
The Cantos I,Ezra Pound,1917,Modernist,Modernism,Formal,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,Third person,None,Implied,None,Historical,Nonlinear,Modernist Poetry,Experimental,Epic,Irregular,Irregular,None
The Cantos XLV,Ezra Pound,1937,Modernist,Modernism,Formal,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,Third person,None,Implied,None,Historical,Nonlinear,Modernist Poetry,Experimental,Epic,Irregular,Free verse,None
Homage to Sextus Propertius,Ezra Pound,1919,Modernist,Modernism,Formal,Epideictic,Analogical,Expository,Extradiegetic,None,Third person,None,None,General,None,Past,Linear,Classical,Narrative,Epigram,Quatrains,Iambic pentameter,AABB
Mauberley,Ezra Pound,1920,Modernist,Modernism,Formal,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,Third person,None,Implied,None,Past,Chronological,Modernist Poetry,Narrative,Epigram,Variable,Free verse,None
Hermes of the Ways,H.D.,1916,Modernist,Modernism,Mystical,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,nan,Second person,Reader,nan,Present,Linear,Classical,Lyric,Epigram,Quatrains,Iambic pentameter,AABB
Orchard,H.D.,1916,Modernist,Modernism,Descriptive,Descriptive,Cohesive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,Implied,Orchard,Present,Static,Modernist poetry,Descriptive,Lyric,Free,Free verse,A-B-A-B
The Walls Do Not Fall,H.D.,1944,Modernist,Modernism,Imperative,Persuasive,Monologue,Expository,First person,Extradiegetic,First person internal,Speaker,Second person,Implied,Walls,Present,Linear,Modernist poetry,Lyric,Poetry,Free verse,Free verse,A-B-A-B
Tribute to the Angels,H.D.,1945,Modernist,Modernism,Reverential,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Timeless,Static,Modernist Poetry,Lyric,Religious Poetry,Free,Free verse,None
An Octopus,Marianne Moore,1924,Modernist,Modernism,Observational,Descriptive,Expository,Declarative,Extradiegetic,Mimetic,Third person,nan,Neutral,Implied,nan,Present,Synchronous,Modernist Poetry,Descriptive,Poetry,Free,Free verse,AbbaBccB
The Steeple-Jack,Marianne Moore,1932,Modernist,Modernism,Observational,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,Implied,The steeple-jack,Present,Synchronous,Modernist poetry,Descriptive,Poetry,Free,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
The Pangolin,Marianne Moore,1936,Modernist,Modernism,Observational,Descriptive,Expository,Prose Poem,Extradiegetic,Mimetic,Third person,nan,Non-deictic,Implied,nan,Present,Synchronous,Modernist Poetry,Descriptive,Poetry,Free,Free verse,A-B-A-B
What Are Years?,Marianne Moore,1941,Modernist,Modernism,Reflective,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,None,General,None,Reflective,Flashback,Modernist Poetry,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
The Weary Blues,Langston Hughes,1926,Jazz Age,Harlem Renaissance,Narrative,Epideictic,Free,Poetic,Third person,External,Omniscient,nan,External,Implied,nan,Present,Sequential,African American,Lyric,Poetry,Quatrains,Anapestic tetrameter,AABB
Theme for English B,Langston Hughes,1951,Postwar,Harlem Renaissance,Narrative,Descriptive,Paragraphic,Expository,Third person,Mimetic,Omniscient,nan,Anaphoric,General,nan,Present,Linear,African American,Narrative,Poetry,Quatrains,Iambic pentameter,AABB
Montage of a Dream Deferred,Langston Hughes,1951,Modernist,Harlem Renaissance,Colloquial,Reflective,Montage,Narrative,Extradiegetic,None,Omniscient,Third person,None,Implied,None,Present,Sequential,African American,Narrative,Poetry,Free,Irregular,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A
The Negro Speaks of Rivers,Langston Hughes,1921,Early 20th Century,Harlem Renaissance,Expressive,Epideictic,Descriptive,Poetic,nan,nan,nan,First person,External,Implied,Rivers,Present,Single moment,African American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Sunday Morning,Hart Crane,1926,Modernist,Modernism,Meditative,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Static,General,None,Present,Linear,Modern American Poetry,Lyric,Descriptive Poetry,Free verse,Free verse,None
The Bridge,Hart Crane,1930,Modernist,Modernism,Elevated,Descriptive,Cohesive,Expository,Extradiegetic,Mimetic,Omniscient,Third person,External,Implied,The bridge,Present,Linear,Modern American Poetry,Lyric,Narrative Poem,Free,Free verse,AbbaBbCcCcDdDdEeEe
Voyages,Hart Crane,1926,Modernist,Modernism,Elevated,Descriptive,Cohesive,Expository,Extradiegetic,None,Omniscient,Third person,External,Implied,None,Past,Linear,Modernist Poetry,Lyric,Descriptive Poetry,Free,Free verse,None
anyone lived in a pretty how town,E.E. Cummings,1940,Modernist,Modernism,Playful,Descriptive,Fragmented,Poetic,nan,Non-diegetic,Omniscient,nan,Non-deictic,Implied,nan,Present,A-temporal,Modernist Poetry,Lyric,Descriptive Poetry,Free verse,Free verse,Free verse
i sing of Olaf,E.E. Cummings,1931,Modernist,Modernism,Playful,Epideictic,Fragmented,Poetic,nan,Non-diegetic,First person,Speaker,Subjective,Implied,nan,Present,A-temporal,Modernist poetry,Lyric,nan,Free form,Free verse,A-rhyming
somewhere i have never travelled,E.E. Cummings,1931,Modernist,Modernism,Intimate,Descriptive,Narrative,Poetic,First person,Internal,First person,First person singular,Subjective,Implied,N/A,Present,Single moment,Modernist poetry,Lyric,Descriptive poetry,Free verse,Free verse,Free verse
The Quaker Graveyard in Nantucket,Robert Lowell,1946,Modernist,Modernism,Observational,Descriptive,Expository,Prose Poem,Extradiegetic,Mimetic,Third person omniscient,nan,External,Implied,The Quaker Graveyard in Nantucket,Past,Linear,American,Descriptive,Poetry,Free verse,Free verse,AABBCC
Mr. Edwards and the Spider,Robert Lowell,1946,Modernist,Modernism,Observational,Descriptive,Expository,Narrative,Third person,Mimetic,External,Third person,Extradiegetic,Implied,Mr. Edwards,Present,Synchronous,Modernist poetry,Narrative,Short story,Quatrains,Iambic pentameter,AABB
Commander Lowell,Robert Lowell,1959,Postwar,Modernism,Formal,Epideictic,Monologue,Expository,Third person,Realistic,Omniscient,nan,Second person,Imaginary,nan,Present,Linear,Modern American Poetry,Narrative,Lyric Poem,Quatrains,Iambic pentameter,AABB
Dolphin,Robert Lowell,1973,Contemporary,Confessionalism,Confessional,Epideictic,Narrative,Poetic,First person,Mimetic,First person,First person singular,First person,Implied,Dolphin,Present,Single moment,Modernist,Lyric,Narrative poetry,Free verse,Free verse,Free verse
The Map,Elizabeth Bishop,1946,Modernist,Modernism,Observational,Descriptive,Expository,Narrative,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,Implied,The map,Present,Static,Modernist poetry,Descriptive,Lyric,Quatrains,Free verse,AABB
The Man-Moth,Elizabeth Bishop,1946,Modernist,Modernism,Observational,Descriptive,Expository,Factual,Extradiegetic,Mimetic,Third person,nan,Second person,Implied,nan,Present,Synchronous,Modernist Poetry,Descriptive,Lyric,Free verse,Free verse,AABBCC
At the Fishhouses,Elizabeth Bishop,1955,Modernist,Modernism,Observational,Descriptive,Expository,Narrative,Extradiegetic,Mimetic,Third person omniscient,nan,External,Implied,nan,Present,Synchronous,Modernist poetry,Descriptive,Lyric,Quatrains,Free verse,AABB
Questions of Travel,Elizabeth Bishop,1965,Modernist,Modernism,Reflective,Epideictic,Monologue,Expository,First person,Extradiegetic,First person internal,Speaker,Second person,Implied,The world,Present,Sequential,Modernist poetry,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
The End of March,Elizabeth Bishop,1976,Contemporary,nan,Meditative,Descriptive,nan,Expository,nan,Mimetic,Third person,nan,External,Implied,nan,Present,Sequential,Modernist,Lyric,Poetry,Quatrains,Free verse,AABB
Poem,Elizabeth Bishop,1976,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
The Colossus,Sylvia Plath,1960,Postwar,Modernism,Imagistic,Descriptive,Monologue,Expository,First person,Non-diegetic,Internal,First person singular,Subjective,Implied,The Colossus,Present,Static,Modernist poetry,Descriptive,Lyric,Free verse,Free verse,A-B-A-B-C-C-B-A
The Bee Meeting,Sylvia Plath,1962,Modernist,Modernism,Observational,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,Third person,nan,First person,Implied,The bees,Present,Synchronous,Modernist poetry,Descriptive,nan,Quatrains,Free verse,AABB
Fever 103°,Sylvia Plath,1965,Modernist,Modernism,Introspective,Descriptive,Monologue,First person,Internal,Non-diegetic,First person,First person singular,Subjective,Implied,Self,Present,Sequential,Modernist poetry,Lyric,Free verse,Fixed,No consistent meter,No consistent rhyme
Nick and the Candlestick,Sylvia Plath,1965,Postwar,nan,Fantastical,Narrative,Linear,Expository,Third person,Realistic,Omniscient,nan,Static,General,nan,Past,Chronological,Modernist,Narrative,Short story,Quatrains,Iambic pentameter,AABB
Elm,Sylvia Plath,1965,Postwar,Modernism,Melancholic,Descriptive,Expository,Monologue,First person,Non-diegetic,Internal,First person singular,Subjective,Implied,Elm tree,Present,Static,Modernist poetry,Lyric,Poetry,Free,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A
The Abortion,Anne Sexton,1962,Modernist,Modernism,Direct,Epideictic,Monologue,Poetic Monologue,First person,Non-diegetic,First person,Speaker,Second person,Imaginary,Unborn child,Present,Single moment,Confessional Poetry,Lyric,Narrative Poetry,Free verse,Free verse,No rhyme scheme
With Mercy for the Greedy,Anne Sexton,1962,Modernist,Modernism,Confessional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,Implied,Self,Present,Single moment,Confessional poetry,Lyric,Poetry,Free verse,Free verse,A-B-A-B
Unknown Girl in the Maternity Ward,Anne Sexton,1960,Modernist,Modernism,Observational,Descriptive,Expository,Narrative,Third person,Mimetic,External,nan,Extradiegetic,General,nan,Present,Synchronous,Modernist poetry,Descriptive,Lyric,Free verse,Free verse,AABBCC
The Starry Night,Anne Sexton,1961,Modernist,Modernism,Descriptive,Descriptive,Cohesive,Expository,Third person,Mimetic,External,nan,Extradiegetic,Indirect,The night sky,Present,Static,Modernist poetry,Descriptive,Lyric,Free,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Dream Song 1,John Berryman,1964,Modernist,Modernism,Confessional,Epideictic,Fragmented,Monologue,First person,Non-diegetic,First person internal,Speaker,Subjective,Implied,Nan,Present,Chronological,Modern American Poetry,Narrative,Lyric,Irregular,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Dream Song 14,John Berryman,1964,Modernist,Modernism,Confessional,Epideictic,Fragmented,Monologue,First person,Non-diegetic,First person internal,Speaker,Subjective,Implied,None,Present,Linear,Modern American Poetry,Narrative,Lyric,Irregular,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Dream Song 29,John Berryman,1964,Modernist,Modernism,Personal,Epideictic,Narrative,Monologue,First person,Fictional,First person internal,First person singular,Subjective,Implied,Self,Past,Sequential,Modernist poetry,Narrative,Lyric,Free,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B
A Supermarket in California,Allen Ginsberg,1956,Postwar,Beat,Observational,Descriptive,Expository,Monologue,Extradiegetic,Mimetic,Omniscient,First person singular,Exophoric,Implied,Supermarket,Present,Synchronous,Modernist,Descriptive,Poetry,Free,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Sunflower Sutra,Allen Ginsberg,1956,Postwar,Beat,Confessional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person,Speaker,Second person,Imaginary,Sunflower,Present,Linear,Modernist,Lyric,Narrative poetry,Free verse,Free verse,A-B-A-B
Wales Visitation,Allen Ginsberg,1967,Postwar,Beat Generation,Confessional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,First person singular,Subjective,Implied,,Present,Chronological,Modernist,Lyric,Free verse,Irregular,Free verse,A-B-A-B-C-C-B-A
The Chicago Defender Sends a Man to Little Rock,Gwendolyn Brooks,1960,Postwar,Black Arts Movement,Observational,Persuasive,Descriptive,Expository,Third person,Mimetic,External,nan,Extradiegetic,General,nan,Present,Synchronous,Modernist,Narrative,Poetry,Quatrains,Iambic pentameter,AABB
The Lovers of the Poor,Gwendolyn Brooks,1960,Postwar,Black Arts Movement,Observational,Descriptive,Paragraphic,Expository,Third person,Realistic,Omniscient,nan,Extradiegetic,General,nan,Present,Synchronous,Modernist,Narrative,Short Story,Quatrains,Free verse,AABB
The Blackstone Rangers,Gwendolyn Brooks,1968,Contemporary,Black Arts Movement,Observational,Descriptive,Paragraphic,Expository,Third person,Mimetic,Omniscient,nan,Extradiegetic,General,nan,Present,Chronological,Modernist,Narrative,Short story,Quatrains,Iambic pentameter,AABB
The Heavy Bear,Delmore Schwartz,1938,Modernist,Modernism,Meditative,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Anaphoric,General,nan,Present,Static,Modernist poetry,Lyric,nan,Quatrains,Iambic pentameter,AABB
"In the Naked Bed, in Plato's Cave",Delmore Schwartz,1938,Modernist,Modernism,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
Design,Robert Penn Warren,1960,Postwar,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Modernist,Lyric,nan,Quatrains,Iambic pentameter,AABB
Audubon,Robert Penn Warren,1969,Contemporary,nan,Descriptive,Descriptive,nan,Expository,Extradiegetic,Mimetic,Third person,nan,Extralocative,General,The natural world,Present,Static,Modernist,Descriptive,Poetry,Quatrains,Iambic pentameter,AABB
Storm Warnings,Adrienne Rich,1951,Modernist,Modernism,Observational,Descriptive,Expository,Monologue,Extradiegetic,Mimetic,Third person,nan,Extralocative,Implied,Natural world,Present,Sequential,Modernist Poetry,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
Snapshots of a Daughter-in-Law,Adrienne Rich,1963,Modernist,Modernism,Observational,Descriptive,Fragmented,Expository,Extradiegetic,None,Third person,None,None,General,None,Present,Linear,Modernist Poetry,Descriptive,Lyric,Quatrains,Free verse,AABB
Orion,Adrienne Rich,1969,Contemporary,Feminist poetry,Meditative,Descriptive,Expository,Narrative,Extradiegetic,Mimetic,Third person,nan,Extralocative,Implied,Orion,Past,Sequential,Modernist poetry,Lyric,Narrative poetry,Quatrains,Iambic pentameter,AABB
Twenty-One Love Poems,Adrienne Rich,1976,,,,,,,,,,,,,,,,,,,,,
The Black Walnut Tree,Mary Oliver,1979,Contemporary,nan,Observational,Descriptive,nan,Expository,nan,Mimetic,Third person,nan,Extradiegetic,General,The Black Walnut Tree,Present,Static,Modernist,Descriptive,Poetry,Quatrains,Iambic pentameter,AABB
The Ponds,Mary Oliver,1990,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
At Blackwater Pond,Mary Oliver,1983,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Present,nan,nan,Lyric,nan,nan,Free verse,nan
The Moths,Mary Oliver,1992,Contemporary,nan,Meditative,Descriptive,nan,Expository,nan,nan,nan,nan,nan,nan,nan,Present,nan,nan,Lyric,nan,nan,Free verse,nan
Geometry,Rita Dove,1980,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
Adolescence—I,Rita Dove,1980,Contemporary,nan,Melancholic,Descriptive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nanostic,nan,Modernist,Lyric,nan,Quatrains,Iambic pentameter,AABB
Dusting,Rita Dove,1986,Contemporary,nan,Matter-of-fact,Descriptive,Expository,Narrative,Third person,Mimetic,External,nan,Extradiegetic,Implied,nan,Present,Synchronous,Modernist,Descriptive,Poetry,Quatrains,Iambic pentameter,AABB
Thomas and Beulah,Rita Dove,1986,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Narrative,nan,Quatrains,Iambic pentameter,AABB
On the Pulse of Morning,Maya Angelou,1993,Contemporary,nan,Majestic,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Future,nan,African American,Lyric,nan,Quatrains,Iambic pentameter,AABB
Weekend Glory,Maya Angelou,1978,Contemporary,nan,Celebratory,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Present,nan,African American,Lyric,nan,Quatrains,Iambic pentameter,AABB
Marginalia,Billy Collins,1998,Contemporary,nan,Reflective,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
The History Teacher,Billy Collins,1991,Contemporary,nan,Observational,Descriptive,Expository,Monologue,nan,Non-diegetic,Third person omniscient,nan,Extradiegetic,Implied,nan,Present,Synchronous,Modernist,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Litany,Billy Collins,2002,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Modernist,Lyric,Religious,Quatrains,Iambic pentameter,AABB
Musée,Louise Glück,1992,Contemporary,nan,Reflective,Descriptive,nan,Expository,nan,nan,First person,Speaker,Extradiegetic,Implied,nan,Past,Flashback,Modernist,Lyric,nan,Quatrains,Free verse,AABB
Mock Orange,Louise Glück,1985,Contemporary,nan,Meditative,Descriptive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
The Wild Iris,Louise Glück,1992,Contemporary,nan,Observant,Descriptive,nan,nan,nan,nan,nan,nan,nan,nan,nan,Present,nan,Modernist,Lyric,Poetry,nan,Free verse,nan
Litany in Which Certain Things Are Crossed Out,Richard Siken,2005,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
Scheherazade,Richard Siken,2005,Contemporary,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Free verse,nan
Self-Portrait at 28,David Berman,1999,Contemporary,nan,Introspective,Epideictic,nan,nan,nan,nan,First person,Singular,First person,Implied,nan,Present,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
Snow,David Berman,1999,Contemporary,nan,Meditative,Descriptive,nan,nan,nan,nan,nan,nan,nan,nan,nan,Present,nan,nan,Lyric,nan,nan,Free verse,nan
